iter	Passed	Remaining
192	164540	687999
193	165418	687252
194	166137	685847
195	166773	684113
196	167672	683455
197	168374	682000
198	169109	680685
199	169862	679449
200	170706	678579
201	171402	677125
202	172297	676458
203	173169	675701
204	174086	675114
205	174996	674499
206	175910	673897
207	176842	673361
208	177620	672239
209	178529	671610
210	179276	670374
211	180052	669251
212	180872	668294
213	181769	667621
214	182547	666511
215	183422	665756
216	184359	665221
217	185246	664506
218	186070	663564
219	186960	662861
220	187737	661755
221	188629	661054
222	189488	660236
223	190346	659412
224	191194	658558
225	192130	658005
226	193178	657829
227	194062	657089
228	194920	656262
229	195713	655214
230	196456	654005
231	197305	653150
232	198136	652234
233	198971	651335
234	199758	650277
235	200535	649192
236	201423	648464
237	202380	647958
238	203248	647164
239	204287	646911
240	205682	647771
241	206497	646798
242	207415	646145
243	208229	645169
244	209029	644153
245	209831	643143
246	210637	642147
247	211474	641246
248	212422	640680
249	213313	639940
250	214137	639000
251	215100	638472
252	216026	637831
253	216863	636929
254	217747	636165
255	218583	635259
256	219324	634078
257	220228	633371
258	221293	633121
259	222106	632150
260	222922	631187
261	223749	630256
262	224521	629172
263	225568	628857
264	226518	628267
265	227428	627565
266	228318	626806
267	229291	626274
268	230172	625487
269	230949	624418
270	231747	623408
271	232454	622158
272	233330	621360
273	234401	621077
274	235255	620217
275	236077	619276
276	236798	618069
277	237585	617037
278	238339	615923
279	239060	614726
280	239800	613581
281	240670	612770
282	241537	611952
283	242364	611030
284	243046	609748
285	243807	608665
286	244675	607852
287	245503	606938
288	246560	606589
289	247412	605734
290	248220	604771
291	248990	603715
292	249841	602859
293	250672	601955
294	251442	600904
295	252175	599768
296	252929	598685
297	253735	597726
298	254472	596605
299	255433	596010
300	256230	595034
301	257089	594201
302	257890	593232
303	258634	592138
304	259506	591334
305	260320	590400
306	261044	589263
307	261879	588379
308	262651	587352
309	263467	586427
310	264329	585603
311	265022	584409
312	265921	583667
313	266775	582827
314	267627	581984
315	268446	581066
316	269241	580101
317	269968	578989
318	270916	578351
319	271844	577669
320	272660	576750
321	273508	575896
322	274371	575075
323	275220	574225
324	276004	573240
325	276853	572391
326	277601	571332
327	278467	570519
328	279245	569524
329	280178	568846
330	280996	567935
331	281756	566908
332	282601	566052
333	283496	565295
334	284289	564335
335	285263	563734
336	285967	562600
337	286810	561740
338	287567	560715
339	288464	559960
340	289278	559045
341	290201	558341
342	291062	557516
343	291947	556737
344	292813	555920
345	293771	555279
346	294619	554428
347	295466	553575
348	296251	552605
349	297041	551647
350	297861	550747
351	298825	550111
352	299576	549081
353	300521	548408
354	301345	547514
355	302222	546717
356	303094	545909
357	303947	545068
358	304850	544316
359	305685	543441
360	306498	542528
361	307296	541589
362	308054	540579
363	308908	539741
364	309739	538861
365	310514	537886
366	311203	536763
367	312129	536049
368	312874	535024
369	313868	534425
370	314601	533381
371	315490	532601
372	316277	531651
373	317063	530700
374	317884	529807
375	318651	528826
376	319512	528000
377	320256	526983
378	321190	526278
379	322070	525482
380	322747	524358
381	323570	523472
382	324588	522900
383	325472	522112
384	326528	521597
385	327536	521003
386	328325	520061
387	329071	519051
388	330084	518462
389	331434	518397
390	332231	517466
391	332954	516419
392	333840	515625
393	334568	514589
394	335250	513484
395	336054	512567
396	336797	511558
397	337680	510762
398	338534	509922
399	339536	509304
400	340317	508354
401	341206	507565
402	342236	506985
403	343209	506318
404	343972	505342
405	344694	504306
406	345417	503274
407	346246	502396
408	346995	501404
409	347876	500602
410	348734	499768
411	349522	498832
412	350244	497805
413	351011	496842
414	351858	495993
415	352718	495163
416	353602	494365
417	354451	493518
418	355473	492911
419	356345	492096
420	357265	491346
421	358254	490689
422	359254	490046
423	360354	489538
424	361233	488727
425	361964	487717
426	362770	486809
427	363512	485815
428	364459	485096
429	365209	484115
430	366169	483411
431	367019	482562
432	367801	481624
433	368784	480949
434	369603	480060
435	370343	479068
436	371138	478148
437	371954	477256
438	372789	476389
439	373653	475558
440	374535	474751
441	375363	473874
442	376072	472849
443	376931	472013
444	377781	471165
445	378655	470348
446	379484	469474
447	380315	468603
448	381178	467771
449	381858	466716
450	382586	465721
451	383473	464919
452	384320	464068
453	385266	463338
454	386131	462509
455	386991	461674
456	387863	460852
457	388697	459987
458	389536	459127
459	390313	458194
460	391235	457432
461	392149	456659
462	393020	455835
463	393785	454889
464	394623	454029
465	395367	453060
466	396215	452211
467	397029	451323
468	397765	450348
469	398571	449452
470	399369	448549
471	400101	447571
472	400791	446548
473	401664	445729
474	402422	444782
475	403237	443900
476	404127	443099
477	405061	442347
478	405930	441523
479	406768	440665
480	407684	439892
481	408591	439109
482	409522	438349
483	410291	437417
484	411195	436630
485	411967	435702
486	412804	434843
487	413749	434097
488	414594	433246
489	415366	432320
490	416232	431491
491	417325	430896
492	418082	429954
493	419121	429302
494	419966	428451
495	420858	427646
496	421692	426783
497	422609	426004
498	423608	425306
499	424554	424554
500	425613	423914
501	426570	423171
502	427499	422400
503	428218	421421
504	429059	420563
505	429968	419771
506	430912	419013
507	431715	418117
508	432575	417278
509	433459	416460
510	434298	415601
511	435033	414641
512	435853	413763
513	436668	412881
514	437478	411994
515	438291	411110
516	439147	410267
517	440138	409550
518	440973	408686
519	441858	407869
520	442649	406965
521	443476	406095
522	444317	405238
523	445113	404339
524	445863	403400
525	446705	402544
526	447558	401698
527	448457	400893
528	449435	400158
529	450382	399396
530	451219	398534
531	452097	397709
532	453287	397157
533	454179	396343
534	455616	396003
535	456759	395403
536	458151	395016
537	459278	394399
538	460334	393718
539	461285	392947
540	462175	392123
541	463047	391283
542	463925	390449
543	464844	389649
544	465711	388805
545	466642	388014
546	467331	387022
547	468300	386262
548	469200	385445
549	470027	384568
550	470843	383682
551	471746	382866
552	472558	381977
553	473380	381096
554	474177	380196
555	474968	379291
556	475868	378473
557	476761	377649
558	477595	376779
559	478457	375930
560	479347	375104
561	480106	374175
562	481252	373547
563	482144	372721
564	483055	371909
565	483939	371076
566	484781	370212
567	485569	369306
568	486590	368577
569	487464	367736
570	488264	366839
571	489227	366065
572	490285	365360
573	491203	364551
574	492204	363803
575	493101	362977
576	493950	362115
577	494786	361245
578	495575	360340
579	496355	359429
580	497121	358509
581	497916	357609
582	498720	356717
583	499481	355794
584	500355	354953
585	501275	354143
586	502070	353245
587	502877	352356
588	503737	351504
589	504548	350618
590	505404	349764
591	506303	348938
592	507190	348105
593	508008	347224
594	508859	346366
595	509783	345558
596	510738	344770
597	511566	343896
598	512451	343060
599	513294	342196
600	514101	341308
601	514816	340360
602	515565	339435
603	516493	338628
604	517233	337698
605	518005	336788
606	518761	335870
607	519450	334909
608	520228	334005
609	521032	333118
610	521836	332233
611	522667	331364
612	523411	330441
613	524183	329535
614	525020	328671
615	525787	327763
616	526713	326954
617	527567	326101
618	528475	325281
619	529371	324453
620	530194	323581
621	531010	322704
622	531798	321810
623	532689	320979
624	533474	320084
625	534326	319229
626	535168	318369
627	536033	317523
628	536690	316553
629	537527	315690
630	538412	314855
631	539259	313998
632	540015	313089
633	540846	312223
634	541653	311344
635	542437	310451
636	543146	309516
637	543996	308662
638	544847	307809
639	545696	306954
640	546669	306169
641	547369	305230
642	548214	304374
643	549214	303603
644	550091	302763
645	551010	301946
646	551718	301015
647	552588	300171
648	553415	299304
649	554146	298386
650	555096	297586
651	555955	296736
652	556938	295953
653	557976	295198
654	558978	294423
655	559903	293608
656	560693	292721
657	561539	291864
658	562337	290981
659	563185	290125
660	563953	289228
661	564895	288420
662	565778	287582
663	566690	286758
664	567569	285918
665	568534	285121
666	569401	284273
667	570274	283430
668	571167	282595
669	571980	281721
670	572758	280831
671	573489	279917
672	574301	279043
673	575157	278191
674	576156	277408
675	577116	276605
676	577895	275716
677	578672	274826
678	579562	273990
679	580486	273170
680	581355	272323
681	582179	271455
682	583052	270611
683	583920	269764
684	584915	268975
685	585761	268118
686	586593	267254
687	587471	266411
688	588342	265565
689	589117	264675
690	589994	263832
691	590845	262977
692	591645	262099
693	592526	261258
694	593476	260446
695	594320	259588
696	595134	258717
697	595887	257819
698	596721	256957
699	597386	256022
700	598278	255185
701	599051	254298
702	599853	253423
703	600547	252503
704	601339	251624
705	602090	250729
706	602871	249846
707	603754	249006
708	604573	248139
709	605302	247236
710	606194	246399
711	607092	245565
712	607869	244682
713	608858	243884
714	609757	243050
715	610518	242161
716	611554	241380
717	612331	240497
718	613227	239661
719	614020	238785
720	615015	237988
721	615869	237135
722	616677	236265
723	617546	235418
724	618421	234573
725	619234	233705
726	620316	232938
727	621372	232161
728	622243	231313
729	623103	230462
730	624064	229648
731	625039	228839
732	625853	227971
733	626719	227121
734	627594	226275
735	628469	225429
736	629258	224552
737	630076	223685
738	630956	222841
739	631884	222013
740	632706	221148
741	633489	220269
742	634338	219414
743	635259	218583
744	636066	217714
745	636889	216849
746	637669	215971
747	638480	215103
748	639218	214210
749	639989	213329
750	640893	212493
751	641886	211685
752	642739	210832
753	643476	209940
754	644277	209070
755	645048	208190
756	645854	207321
757	646744	206480
758	647635	205639
759	648520	204795
760	649355	203936
761	650220	203087
762	651077	202235
763	651832	201351
764	652620	200478
765	653436	199613
766	654228	198742
767	655019	197870
768	655900	197026
769	656850	196202
770	657782	195372
771	658549	194493
772	659370	193631
773	660209	192774
774	660977	191896
775	661813	191039
776	662607	190169
777	663343	189283
778	664231	188440
779	665052	187578
780	665803	186697
781	666645	185842
782	667391	184960
783	668119	184073
784	669070	183248
785	669817	182367
786	670589	181493
787	671434	180639
788	672215	179768
789	673134	178934
790	673852	178046
791	674532	177149
792	675321	176281
793	676122	175417
794	676916	174550
795	677756	173696
796	678557	172832
797	679310	171955
798	679979	171058
799	680832	170208
800	681607	169338
801	682347	168459
802	683179	167604
803	684064	166761
804	684746	165870
805	685574	165014
806	686412	164160
807	687256	163308
808	688167	162472
809	689095	161639
810	690074	160818
811	691139	160017
812	692029	159175
813	692869	158321
814	693691	157463
815	694514	156606
816	695394	155761
817	696374	154938
818	697102	154060
819	697945	153207
820	698740	152344
821	699630	151501
822	700365	150625
823	701190	149768
824	702044	148918
825	702927	148074
826	703641	147194
827	704368	146318
828	705278	145479
829	706162	144635
830	707040	143790
831	707903	142942
832	708821	142104
833	709699	141259
834	710484	140395
835	711220	139521
836	712106	138677
837	712968	137829
838	713828	136980
839	714681	136129
840	715574	135286
841	716299	134412
842	717150	133561
843	717989	132708
844	718812	131853
845	719745	131017
846	720593	130166
847	721491	129323
848	722331	128471
849	723099	127605
850	723823	126732
851	724620	125873
852	725544	125035
853	726366	124179
854	727249	123334
855	727988	122465
856	728832	121613
857	729641	120756
858	730355	119883
859	731182	119029
860	732035	118180
861	732814	117318
862	733499	116441
863	734416	115602
864	735145	114733
865	736139	113906
866	736925	113046
867	737695	112184
868	738587	111340
869	739464	110494
870	740232	109632
871	741107	108786
872	741815	107915
873	742684	107068
874	743538	106219
875	744245	105349
876	745139	104506
877	746031	103662
878	746726	102791
879	747535	101936
880	748334	101080
881	749010	100207
882	749820	99353
883	750576	98491
884	751310	97627
885	752184	96782
886	753266	95962
887	754148	95117
888	755117	94283
889	756088	93449
890	757001	92607
891	757764	91747
892	758550	90890
893	759435	90044
894	760421	89211
895	761288	88363
896	762103	87510
897	762919	86656
898	763750	85805
899	764546	84949
900	765423	84103
901	766314	83258
902	767109	82402
903	767863	81543
904	768703	80692
905	769454	79833
906	770305	78983
907	771088	78127
908	772094	77294
909	772890	76439
910	773631	75579
911	774462	74728
912	775422	73890
913	776202	73034
914	777053	72185
915	777918	71337
916	778749	70486
917	779668	69643
918	780513	68793
919	781310	67940
920	782152	67090
921	782919	66234
922	783584	65369
923	784578	64532
924	785385	63679
925	786200	62828
926	786950	61971
927	787816	61123
928	788606	60270
929	789569	59429
930	790308	58572
931	791234	57729
932	791891	56866
933	792663	56012
934	793670	55174
935	794537	54327
936	795381	53478
937	796131	52622
938	797128	51783
939	797932	50931
940	798685	50077
941	799605	49232
942	800433	48382
943	801198	47528
944	801994	46676
945	802717	45821
946	803654	44977
947	804395	44122
948	805237	43274
949	806048	42423
950	806921	41576
951	807855	40732
952	808621	39879
953	809507	39032
954	810411	38186
955	811391	37344
956	812219	36494
957	813137	35649
958	814037	34802
959	814827	33951
960	815570	33098
961	816420	32249
962	817128	31395
963	818131	30552
964	819024	29705
965	819919	28858
966	820907	28014
967	821879	27169
968	822598	26316
969	823508	25469
970	824390	24621
971	825119	23768
972	825924	22918
973	826603	22065
974	827597	21220
975	828379	20369
976	829287	19522
977	830054	18671
978	830948	17824
979	831906	16977
980	832693	16127
981	833485	15277
982	834380	14429
983	835165	13579
984	835907	12729
985	836702	11880
986	837565	11031
987	838423	10183
988	839219	9334
989	839968	8484
990	840732	7635
991	841511	6786
992	842319	5937
993	843129	5089
994	843887	4240
995	844750	3392
996	845610	2544
997	846342	1696
998	847281	848
999	848014	0
