iter	Logloss
0	0.6837527451
1	0.6766733675
2	0.6676583268
3	0.6636197468
4	0.6586498553
5	0.6338897111
6	0.6289984418
7	0.6256366029
8	0.6226735792
9	0.6084485083
10	0.6055549364
11	0.6008667618
12	0.5988495727
13	0.5970228778
14	0.585843057
15	0.5714262109
16	0.5691680551
17	0.5679030201
18	0.5577070926
19	0.554862972
20	0.5531675212
21	0.5516753026
22	0.5505234989
23	0.5492397165
24	0.5482362426
25	0.5472087652
26	0.5459723062
27	0.5450298821
28	0.543876213
29	0.5424470466
30	0.5404844496
31	0.5315912859
32	0.5304774073
33	0.5257433536
34	0.5248233218
35	0.5210234477
36	0.5197402824
37	0.5185015049
38	0.5173208669
39	0.5128878874
40	0.5122749378
41	0.5116896127
42	0.5110370769
43	0.5101676238
44	0.50951201
45	0.5088995021
46	0.5081583979
47	0.5063294045
48	0.5033616705
49	0.5028398865
50	0.5020055959
51	0.5014621717
52	0.5008201586
53	0.5005172475
54	0.4999635279
55	0.4993627404
56	0.4987027952
57	0.4981893651
58	0.4974883771
59	0.4966952223
60	0.4926977455
61	0.4922722729
62	0.4919554096
63	0.4914954775
64	0.4911652167
65	0.4904827796
66	0.4899373449
67	0.4892949153
68	0.4889067414
69	0.4882657162
70	0.487568578
71	0.4873838526
72	0.4870292464
73	0.4863780739
74	0.4858040184
75	0.4853269264
76	0.484871033
77	0.4845042249
78	0.4838833642
79	0.4818587232
80	0.4811914745
81	0.4807402799
82	0.4804364802
83	0.480244463
84	0.4795282407
85	0.4791924819
86	0.478946669
87	0.4785240761
88	0.4778898557
89	0.4770148914
90	0.4767743562
91	0.4762355958
92	0.475530833
93	0.4752689209
94	0.4748010646
95	0.4744506645
96	0.4740516389
97	0.4735797874
98	0.4709778378
99	0.4695302102
100	0.4690809683
101	0.4686264264
102	0.4675920836
103	0.4672245633
104	0.4667007773
105	0.4663211834
106	0.4659695026
107	0.4656910031
108	0.4647621899
109	0.4643276224
110	0.4635396054
111	0.463095697
112	0.4627173522
113	0.4624688791
114	0.4619148021
115	0.4613434652
116	0.4610310314
117	0.4604855655
118	0.4597165905
119	0.4592954139
120	0.4588812283
121	0.458561823
122	0.4581938859
123	0.4579382782
124	0.4575952074
125	0.4574335078
126	0.4572017932
127	0.4569182016
128	0.4564451782
129	0.4562597608
130	0.4558009319
131	0.4555385149
132	0.4551447793
133	0.4538749752
134	0.4525495405
135	0.4520728504
136	0.4516158922
137	0.451170933
138	0.4507442383
139	0.4505756677
140	0.4504382536
141	0.4500886292
142	0.4498970848
143	0.4493862172
144	0.449029177
145	0.4485058029
146	0.4482099375
147	0.4479962479
148	0.4477151609
149	0.447352934
150	0.4469115982
151	0.4463409511
152	0.4458791687
153	0.4456555375
154	0.4453508608
155	0.4450446947
156	0.4447976372
157	0.4445500956
158	0.4441386484
159	0.4439684676
160	0.4437050147
161	0.4434252514
162	0.4433229168
163	0.4430173146
164	0.4428486097
165	0.4426065512
166	0.442535609
167	0.4422595299
168	0.4420316973
169	0.4419238334
170	0.4416364295
171	0.441349452
172	0.4410671743
173	0.4406027121
174	0.4404043759
175	0.4399695428
176	0.4397998252
177	0.4393667554
178	0.4390568881
179	0.4386669999
180	0.4382886431
181	0.4378917622
182	0.4376823178
183	0.4373375777
184	0.4370088199
185	0.4368105465
186	0.4359973972
187	0.4349747152
188	0.4346973601
189	0.4345368278
190	0.4342447879
191	0.4339101986
192	0.4337215103
193	0.4333827526
194	0.4332328674
195	0.4330706648
196	0.4328300806
197	0.4326795305
198	0.4324700608
199	0.4323546246
200	0.4320755029
201	0.4318738286
202	0.431425253
203	0.4309608447
204	0.4305557788
205	0.4302552636
206	0.4301024829
207	0.4296868432
208	0.4293237036
209	0.4291075417
210	0.4289372444
211	0.4287688707
212	0.4284719273
213	0.4283054004
214	0.4281423704
215	0.4279531185
216	0.4277495387
217	0.427455046
218	0.4270794899
219	0.4267182298
220	0.4264889628
221	0.4263018792
222	0.4261239185
223	0.4257411835
224	0.4254995472
225	0.4253179205
226	0.4251286302
227	0.4248704602
228	0.4246185278
229	0.424417367
230	0.4243036087
231	0.423552747
232	0.423400199
233	0.42329075
234	0.4231294422
235	0.4230511413
236	0.4228318016
237	0.4226349625
238	0.4224793983
239	0.4221559056
240	0.4219426435
241	0.4214832511
242	0.4213350945
243	0.4211963024
244	0.4209989994
245	0.4207534496
246	0.4205011432
247	0.4202769589
248	0.4200213448
249	0.4197212218
250	0.4196210032
251	0.4193164702
252	0.4189338336
253	0.4187982391
254	0.4185608533
255	0.4184283131
256	0.4182707651
257	0.4181106022
258	0.4179812325
259	0.4177009963
260	0.4174161131
261	0.4172529624
262	0.4170279887
263	0.4163974608
264	0.4162812207
265	0.4161421474
266	0.4159955754
267	0.415854666
268	0.4155286417
269	0.4154425239
270	0.4151669145
271	0.4149940544
272	0.4148202537
273	0.4144083354
274	0.4141386829
275	0.4139271958
276	0.4137475555
277	0.41359881
278	0.4134825284
279	0.4133927903
280	0.4131637
281	0.4130879768
282	0.4129433111
283	0.4126105127
284	0.4124669612
285	0.4122374653
286	0.4120806063
287	0.4118574876
288	0.4117026546
289	0.4113837388
290	0.4111615048
291	0.4111048674
292	0.4109151784
293	0.4107340239
294	0.4105845672
295	0.4105108128
296	0.410415997
297	0.4102300907
298	0.4101582617
299	0.4099197818
300	0.4097501184
301	0.4094554349
302	0.4092816831
303	0.4092128581
304	0.4090666784
305	0.4089589126
306	0.4087656344
307	0.4085829222
308	0.4084171007
309	0.4083070463
310	0.4081777367
311	0.4080758897
312	0.4077949397
313	0.4075678756
314	0.4073564739
315	0.407190793
316	0.4071238007
317	0.4069749317
318	0.4067642133
319	0.4063097439
320	0.4062806241
321	0.406195421
322	0.4060307618
323	0.4056992283
324	0.405535676
325	0.4053942058
326	0.4051548971
327	0.4050006217
328	0.4049008249
329	0.4047662921
330	0.4046302618
331	0.4045061535
332	0.4042937345
333	0.4041118053
334	0.4039937853
335	0.4038830316
336	0.4038119046
337	0.4036154822
338	0.4034971296
339	0.4032852588
340	0.4031483223
341	0.4028807297
342	0.4027741797
343	0.4026377639
344	0.4026019991
345	0.4025717063
346	0.4024376211
347	0.4022738445
348	0.4021355493
349	0.4018256603
350	0.401639806
351	0.4014607468
352	0.4012772232
353	0.4010899619
354	0.4010027329
355	0.400742613
